"","X1","V2","V3","V4"
"1","Cost without LEM (in EUR)",459.828928512882,459.828928512882,459.828928512882
"2","Cost predicted values (in EUR)",457.94053520585,226.611771975402,470.690471600184
"3","Cost true valuesa (in EUR)",439.261274362602,200.747591471466,451.602610427136
"4","Savings due to LEM (in %)",4.82210346661079,129.083568537492,1.89549596459506
"5","Loss due to pred. errors (in %)",-4.79894261974678,-13.7492077556107,-4.75942270264451
