"","X1","V2","V3","V4","V5","V6","V7"
"1","Equilibrium price (in EURct)",24.6398970122227,24.6138807152558,12.4987381167949,12.4894726120416,25.6758057944771,25.6888512901766
"2","LEM price (in EURct)",27.3054566755863,27.277949490956,12.508214897909,12.4902999935677,28.0761868140514,28.0950963516249
"3","Revenue (in EUR)",1113.83873098203,1108.88242547461,3454.61531412265,3451.69312277055,1035.90445718634,1036.12475382767
"4","Cost with LEM (in EUR)",439.261274362602,457.94053520585,200.747591471466,226.611771975402,451.602610427136,470.690471600184
"5","Cost without LEM (in EUR)",459.828928512882,446.925680167141,459.828928512882,446.925680167141,459.828928512882,446.925680167141
