"","X1","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max."
"1","Consumer: consumption",40.0002880024,3696.5007760603,5045.1181156296,5650.18823666105,6238.63892186095,26854.3265655394
"2","Prosumer: consumption",0,1125.17623659983,4959.87067746245,35026.2410596952,23274.2928035844,424893.434235911
"3","Prosumer: production",0,0,0,16531.7993265428,0,432593.116754847
