"","Model","MAE","RMSE","MAPE","NRMSE","MASE"
"1","LSTM",0.0388207942181298,0.0880102899690517,22.2232902217021,3.30413850364171,0.852181530205559
"2","LASSO",0.0259390666094079,0.0516320538968907,17.3795857426364,2.30660702364,0.569786105541167
"3","Benchmark",0.0463326680877023,0.100704938987467,27.9774008827671,5.08136642716538,0.999922571551044
"4","Improvement LSTM (in %)",16.2129101983798,12.6057859187973,20.5669950728314,34.9753939023659,14.7752481590964
"5","Improvement LASSO (in %)",44.0155991873633,48.7293727437576,37.8799130932084,54.6065599341804,43.0169773388218
