"","Model","MAE","RMSE","MASE"
"1","LSTM",0.641939015803239,0.743265595578245,7.415236881367
"2","LASSO",0.0123122854329792,0.0900676620780353,0.651016232885047
"3","Benchmark",0.0159828394141426,0.190165082694244,0.999887900362017
"4","Improvement LSTM (in %)",-3916.42661337892,-290.852823792736,-641.60682199297
"5","Improvement LASSO (in %)",22.965593822556,52.6371188643238,34.8910780249124
