"","Model","MAE","RMSE","MASE"
"1","LSTM",1.11134551143271,1.2953749651681,29.866807106102
"2","LASSO",0.0504503861686325,0.12398765755939,1.0034775844793
"3","Benchmark",0.0670905722280183,0.232522067234988,1.00005741169637
"4","Improvement LSTM (in %)",-1556.48536676005,-457.097646933869,-2886.50925004791
"5","Improvement LASSO (in %)",24.8025698794629,46.6770362771258,-0.341997643628006
